num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,latitud,longitud,geometry,hora_minutos,cluster,street_name
2024S014191,21/04/2024,1900-01-01 15:20:00,CALL. HERMANOS GOMEZ / CALL. BENIDORM,16,15,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 60 a 64 años,Mujer,14.0,Sin asistencia sanitaria,444859.0,4475883.0,N,,40.43175971952458,-3.650094716636561,POINT (-3.650094716636561 40.43175971952458),920,-1,calle de los hermanos machado
2024S014191,21/04/2024,1900-01-01 15:20:00,CALL. HERMANOS GOMEZ / CALL. BENIDORM,16,15,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 21 a 24 años,Mujer,14.0,Sin asistencia sanitaria,444859.0,4475883.0,N,,40.43175971952458,-3.650094716636561,POINT (-3.650094716636561 40.43175971952458),920,-1,calle de los hermanos machado
2024S014191,21/04/2024,1900-01-01 15:20:00,CALL. HERMANOS GOMEZ / CALL. BENIDORM,16,15,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 40 a 44 años,Mujer,7.0,Asistencia sanitaria sólo en el lugar del accidente,444859.0,4475883.0,N,,40.43175971952458,-3.650094716636561,POINT (-3.650094716636561 40.43175971952458),920,-1,calle de los hermanos machado
2024S014191,21/04/2024,1900-01-01 15:20:00,CALL. HERMANOS GOMEZ / CALL. BENIDORM,16,15,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 60 a 64 años,Mujer,14.0,Sin asistencia sanitaria,444859.0,4475883.0,N,,40.43175971952458,-3.650094716636561,POINT (-3.650094716636561 40.43175971952458),920,-1,calle de los hermanos machado
2024S014195,20/04/2024,1900-01-01 12:30:00,"CALL. FELIPE IV, 1",1,3,RETIRO,Choque contra obstáculo fijo,,Autobús,Conductor,Desconocido,Desconocido,,,441213.0,4474066.0,N,,40.41514161606918,-3.6929090153185777,POINT (-3.6929090153185777 40.41514161606918),750,-1,neptuno
2024S014197,21/04/2024,1900-01-01 20:30:00,"CALL. PADILLA, 30",30,4,SALAMANCA,Caída,Despejado,VMU eléctrico,Conductor,De 25 a 29 años,Mujer,,,442081.0,4475877.0,N,,40.43151686937541,-3.682843746074597,POINT (-3.682843746074597 40.43151686937541),1230,-1,velázquez-juan bravo
2024S014199,21/04/2024,1900-01-01 20:23:00,"CALL. LA ILIADA, 1",1,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,,,448108.0,4476184.0,N,,40.4346803521926,-3.611816760342992,POINT (-3.611816760342992 40.4346803521926),1223,362,arcentales-avenida de canillejas
2024S014199,21/04/2024,1900-01-01 20:23:00,"CALL. LA ILIADA, 1",1,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 65 a 69 años,Hombre,,,448108.0,4476184.0,S,,40.4346803521926,-3.611816760342992,POINT (-3.611816760342992 40.4346803521926),1223,362,arcentales-avenida de canillejas
2024S014199,21/04/2024,1900-01-01 20:23:00,"CALL. LA ILIADA, 1",1,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 10 a 14 años,Hombre,,,448108.0,4476184.0,N,,40.4346803521926,-3.611816760342992,POINT (-3.611816760342992 40.4346803521926),1223,362,arcentales-avenida de canillejas
2024S014199,21/04/2024,1900-01-01 20:23:00,"CALL. LA ILIADA, 1",1,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 55 a 59 años,Mujer,,,448108.0,4476184.0,N,,40.4346803521926,-3.611816760342992,POINT (-3.611816760342992 40.4346803521926),1223,362,arcentales-avenida de canillejas
2024S014200,21/04/2024,1900-01-01 21:15:00,"CALL. PORTUGALETE, 2",2,15,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,6.0,Asistencia sanitaria inmediata en centro de salud o mutua,445989.0,4475169.0,N,,40.42540173945778,-3.636712504394734,POINT (-3.636712504394734 40.42540173945778),1275,-1,calle fernando gabriel
2024S014200,21/04/2024,1900-01-01 21:15:00,"CALL. PORTUGALETE, 2",2,15,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 30 a 34 años,Mujer,14.0,Sin asistencia sanitaria,445989.0,4475169.0,N,,40.42540173945778,-3.636712504394734,POINT (-3.636712504394734 40.42540173945778),1275,-1,calle fernando gabriel
2024S014201,21/04/2024,1900-01-01 23:40:00,PASEO. CASTELLANA / PLAZA. CUZCO,170,5,CHAMARTÍN,Colisión lateral,Despejado,Todo terreno,Conductor,Más de 74 años,Hombre,,,441550.0,4478949.0,N,,40.45915369706843,-3.6893863040430728,POINT (-3.6893863040430728 40.45915369706843),1420,1006,alberto alcocer - pza. de cuzco
2024S014201,21/04/2024,1900-01-01 23:40:00,PASEO. CASTELLANA / PLAZA. CUZCO,170,5,CHAMARTÍN,Colisión lateral,Despejado,Todo terreno,Pasajero,De 70 a 74 años,Mujer,,,441550.0,4478949.0,N,,40.45915369706843,-3.6893863040430728,POINT (-3.6893863040430728 40.45915369706843),1420,1006,alberto alcocer - pza. de cuzco
2024S014201,21/04/2024,1900-01-01 23:40:00,PASEO. CASTELLANA / PLAZA. CUZCO,170,5,CHAMARTÍN,Colisión lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,,,441550.0,4478949.0,N,,40.45915369706843,-3.6893863040430728,POINT (-3.6893863040430728 40.45915369706843),1420,1006,alberto alcocer - pza. de cuzco
2024S014203,22/04/2024,1900-01-01 00:31:00,"CALL. NUESTRA SEÑORA DE LA LUZ, 53",53,10,LATINA,Caída,Despejado,VMU eléctrico,Conductor,De 50 a 54 años,Hombre,3.0,Ingreso superior a 24 horas,436228.0,4470892.0,N,,40.38618191198579,-3.7513435160406057,POINT (-3.7513435160406057 40.38618191198579),31,252,nuestra señora de la luz
2024S014204,22/04/2024,1900-01-01 00:10:00,CALL. CRISTO DE LA VEGA / CALL. CRISTO DE LEPANTO,5,12,USERA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,14.0,Sin asistencia sanitaria,440499.0,4470276.0,N,,40.380948641074134,-3.7009699843895816,POINT (-3.7009699843895816 40.380948641074134),10,-1,cristo de la victoria-olvido
2024S014204,22/04/2024,1900-01-01 00:10:00,CALL. CRISTO DE LA VEGA / CALL. CRISTO DE LEPANTO,5,12,USERA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,14.0,Sin asistencia sanitaria,440499.0,4470276.0,N,,40.380948641074134,-3.7009699843895816,POINT (-3.7009699843895816 40.380948641074134),10,-1,cristo de la victoria-olvido
2024S014204,22/04/2024,1900-01-01 00:10:00,CALL. CRISTO DE LA VEGA / CALL. CRISTO DE LEPANTO,5,12,USERA,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero,De 15 a 17 años,Hombre,7.0,Asistencia sanitaria sólo en el lugar del accidente,440499.0,4470276.0,N,,40.380948641074134,-3.7009699843895816,POINT (-3.7009699843895816 40.380948641074134),10,-1,cristo de la victoria-olvido
2024S014204,22/04/2024,1900-01-01 00:10:00,CALL. CRISTO DE LA VEGA / CALL. CRISTO DE LEPANTO,5,12,USERA,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero,De 25 a 29 años,Hombre,14.0,Sin asistencia sanitaria,440499.0,4470276.0,N,,40.380948641074134,-3.7009699843895816,POINT (-3.7009699843895816 40.380948641074134),10,-1,cristo de la victoria-olvido
2024S014208,22/04/2024,1900-01-01 00:28:00,CALL. CANTUESO / CALL. CAPITAN BLANCO ARGIBAY,20,6,TETUÁN,Vuelco,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,,,440222.0,4479879.0,N,,40.4674370350208,-3.7051358399139844,POINT (-3.7051358399139844 40.4674370350208),28,-1,blanco argibay-sorgo
2024S014209,21/04/2024,1900-01-01 23:58:00,CALL. PUERTO DE NAVACERRADA / CALL. BALTASAR SANTOS,2,13,PUENTE DE VALLECAS,Atropello a persona,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,14.0,Sin asistencia sanitaria,444269.0,4472562.0,N,,40.40180297384661,-3.656759224227207,POINT (-3.656759224227207 40.40180297384661),1438,529,baltasar santos-navacerrada
2024S014209,21/04/2024,1900-01-01 23:58:00,CALL. PUERTO DE NAVACERRADA / CALL. BALTASAR SANTOS,2,13,PUENTE DE VALLECAS,Atropello a persona,Despejado,Turismo,Peatón,Menor de 5 años,Mujer,5.0,Asistencia sanitaria ambulatoria con posterioridad,444269.0,4472562.0,N,,40.40180297384661,-3.656759224227207,POINT (-3.656759224227207 40.40180297384661),1438,529,baltasar santos-navacerrada
2024S014211,22/04/2024,1900-01-01 05:15:00,CALL. SAN CIPRIANO / PASEO. ARTILLEROS,10,19,VICÁLVARO,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,14.0,Sin asistencia sanitaria,448333.0,4472791.0,S,,40.40412805144114,-3.608888469698935,POINT (-3.608888469698935 40.40412805144114),315,194,metro vicálvaro
2024S014212,22/04/2024,1900-01-01 06:30:00,"PASEO. CASTELLANA, 263",263,8,FUENCARRAL-EL PARDO,Alcance,,Turismo,Conductor,De 25 a 29 años,Hombre,,,441887.0,4481280.0,N,,40.48017596738056,-3.6856253672831922,POINT (-3.6856253672831922 40.48017596738056),390,608,hospital la paz
