cluster,num_elementos,media_latitud,media_longitud,max_hora,min_hora,id_estacion_proxima,longitud_estacion,latitud_estacion,suma_intensidad,probabilidad_accidente,geometry_accidente,geometry_estacion,osmid_acc,dist_acc,osmid_est,dist_est
0,12,40.51864697594795,-3.778270706798161,1335,30,3680,-3.7544179277204,40.48838168259062,269344,4.4552690982535346e-05,POINT (-3.778270706798161 40.51864697594795),POINT (-3.7544179277204 40.48838168259062),"[248905968, 11101830]",11523.01354573433,"[248905968, 11101830]",7615.865186015228
1,13,40.42855951941911,-3.5768103567200957,1075,855,6548,-3.583356279733687,40.44167231420923,892213,1.4570511749996918e-05,POINT (-3.5768103567200957 40.42855951941911),POINT (-3.583356279733687 40.44167231420923),302644186,11523.01354573433,302644186,7615.865186015228
2,25,40.4270436955523,-3.579117115855554,1240,420,6548,-3.583356279733687,40.44167231420923,3858044,6.479967569058311e-06,POINT (-3.579117115855554 40.4270436955523),POINT (-3.583356279733687 40.44167231420923),8817535,7549.816723605153,8817535,7070.175967517401
3,51,40.35311765200267,-3.570552362641383,1270,45,5380,-3.5983798082233314,40.36321763037399,1569198,3.250067869064325e-05,POINT (-3.570552362641383 40.35311765200267),POINT (-3.5983798082233314 40.36321763037399),8028969,7549.816723605153,8028969,7070.175967517401
4,10,40.4628593264551,-3.770519541696327,1410,580,4890,-3.777969934938601,40.45997002346132,0,,POINT (-3.770519541696327 40.4628593264551),POINT (-3.777969934938601 40.45997002346132),8817535,7364.673883617239,8817535,7070.175967517401
5,20,40.47340080503432,-3.8324654272021754,1103,560,6632,-3.8320085158412542,40.473474128295884,80532,0.0002483484825907714,POINT (-3.8324654272021754 40.47340080503432),POINT (-3.8320085158412542 40.473474128295884),8028969,7364.673883617239,8028969,7070.175967517401
6,13,40.40838501712199,-3.547386351784276,1030,595,11348,-3.575331021815561,40.407880886311816,0,,POINT (-3.547386351784276 40.40838501712199),POINT (-3.575331021815561 40.407880886311816),"[15241769, 1354652366, 15241775]",10055.784591361786,"[15241769, 1354652366, 15241775]",7505.325237942186
7,26,40.446220226928965,-3.7864930612615733,1400,300,10519,-3.783330111041874,40.45227806492305,2632778,9.875500327030992e-06,POINT (-3.7864930612615733 40.446220226928965),POINT (-3.783330111041874 40.45227806492305),"[248905968, 11101830]",6772.145595016623,"[248905968, 11101830]",7193.815115577478
12,10,40.453450350224784,-3.7811251189517185,1142,110,4870,-3.7803055654032627,40.45358637754656,699325,1.4299503092267544e-05,POINT (-3.7811251189517185 40.453450350224784),POINT (-3.7803055654032627 40.45358637754656),15241769,9518.501430537322,15241769,7678.287079522738
14,25,40.46448232143358,-3.785092991316146,1290,370,10108,-3.7839512950762426,40.462115621427216,1571032,1.5913106798588444e-05,POINT (-3.785092991316146 40.46448232143358),POINT (-3.7839512950762426 40.462115621427216),"[248905968, 11101830]",8840.18278191041,"[248905968, 11101830]",8557.30151425316
15,14,40.506660044070394,-3.641628134666513,1293,560,10457,-3.6484492111732045,40.495774156015244,4848901,2.8872521835360217e-06,POINT (-3.641628134666513 40.506660044070394),POINT (-3.6484492111732045 40.495774156015244),"[248905968, 11101830]",9571.075250526465,"[248905968, 11101830]",7118.666590171509
16,13,40.45504407530136,-3.7853344857457527,690,67,4883,-3.7853882047640766,40.45483099870265,815682,1.593758351906748e-05,POINT (-3.7853344857457527 40.45504407530136),POINT (-3.7853882047640766 40.45483099870265),"[248905968, 11101830]",7179.848658075673,"[248905968, 11101830]",8306.976372154608
17,19,40.44168332076452,-3.7471595905429815,1220,740,6767,-3.739627310755131,40.44397741507996,8528453,2.227836631098278e-06,POINT (-3.7471595905429815 40.44168332076452),POINT (-3.739627310755131 40.44397741507996),"[248905968, 11101830]",8285.242929738384,"[248905968, 11101830]",7754.056464498528
20,48,40.44758130800716,-3.5495352207628517,1384,57,6553,-3.581799783200342,40.443923961336935,6448904,7.443125219417129e-06,POINT (-3.5495352207628517 40.44758130800716),POINT (-3.581799783200342 40.443923961336935),"[248905968, 11101830]",7574.437809778281,"[248905968, 11101830]",3509.9930083373515
21,23,40.483043956095024,-3.6330924736069803,1233,300,11170,-3.6331110969612324,40.48617457009755,1229,0.01871440195280716,POINT (-3.6330924736069803 40.483043956095024),POINT (-3.6331110969612324 40.48617457009755),"[248905968, 11101830]",4049.359677499817,"[248905968, 11101830]",7911.707802037643
22,16,40.340617752904755,-3.6763515231144583,1412,495,5348,-3.6747017337723102,40.34822040992347,6063007,2.6389545649543207e-06,POINT (-3.6763515231144583 40.340617752904755),POINT (-3.6747017337723102 40.34822040992347),"[248905968, 11101830]",7934.588982591121,"[248905968, 11101830]",7292.279179021391
28,28,40.363135382481246,-3.7772884910594082,1055,0,5270,-3.7769849337038055,40.363730409792105,1199354,2.3345901210151465e-05,POINT (-3.7772884910594082 40.363135382481246),POINT (-3.7769849337038055 40.363730409792105),140358451,7975.864229853585,140358451,8528.858941291883
29,12,40.49017240125378,-3.6434051128890004,1265,630,11141,-3.646635248143397,40.48697450677891,4242440,2.828560922488002e-06,POINT (-3.6434051128890004 40.49017240125378),POINT (-3.646635248143397 40.48697450677891),655440028,8953.893105930925,655440028,8206.894791980594
30,12,40.491740251589185,-3.611831253953964,1410,80,11228,-3.6093248222827023,40.491086798931555,0,,POINT (-3.611831253953964 40.491740251589185),POINT (-3.6093248222827023 40.491086798931555),655440028,8953.893105930925,655440028,8206.894791980594
31,23,40.491241915313886,-3.606327544816248,1220,480,11227,-3.6075795459072206,40.49143112738182,1658793,1.3865503411215263e-05,POINT (-3.606327544816248 40.491241915313886),POINT (-3.6075795459072206 40.49143112738182),655440028,8865.802946558686,655440028,7851.495335737939
32,14,40.47161644042664,-3.614039321902254,1164,182,9855,-3.615654580976851,40.46378634465752,0,,POINT (-3.614039321902254 40.47161644042664),POINT (-3.615654580976851 40.46378634465752),655440028,8865.802946558686,655440028,7851.495335737939
35,12,40.357004307765926,-3.6600712456337305,675,254,5348,-3.6747017337723102,40.34822040992347,2358010,5.089036942167336e-06,POINT (-3.6600712456337305 40.357004307765926),POINT (-3.6747017337723102 40.34822040992347),140358451,7017.338346472463,140358451,6203.920573748452
39,12,40.46002943824188,-3.7287338977510127,1295,540,5404,-3.728936190148592,40.45980907910517,1133363,1.0587958138742839e-05,POINT (-3.7287338977510127 40.46002943824188),POINT (-3.728936190148592 40.45980907910517),655440028,8254.667195373651,655440028,5502.343356447659
40,12,40.337763651500026,-3.7014185960889665,1215,485,5391,-3.705433217797552,40.33966009891711,2033935,5.899893556087092e-06,POINT (-3.7014185960889665 40.337763651500026),POINT (-3.705433217797552 40.33966009891711),655440028,8254.667195373651,655440028,5502.343356447659
50,15,40.363521625936094,-3.71438243874303,1200,330,4998,-3.7141791580572336,40.364459674157466,5986848,2.5054920385484984e-06,POINT (-3.71438243874303 40.363521625936094),POINT (-3.7141791580572336 40.364459674157466),"[248905968, 11101830]",3568.1768892030796,"[248905968, 11101830]",3786.5711279696943
51,14,40.468784268321095,-3.583383285570558,1305,170,6340,-3.5813913541757887,40.469681499972324,3756385,3.7269875159228888e-06,POINT (-3.583383285570558 40.468784268321095),POINT (-3.5813913541757887 40.469681499972324),302644186,3568.1768892030796,302644186,3786.5711279696943
54,29,40.46801060167105,-3.5817945671675404,1415,30,6340,-3.5813913541757887,40.469681499972324,3756385,7.72018842584027e-06,POINT (-3.5817945671675404 40.46801060167105),POINT (-3.5813913541757887 40.469681499972324),7972743,7671.05730049458,7972743,7474.037787269649
55,11,40.45178875525719,-3.7288521362661995,1350,1148,9926,-3.729263750755554,40.450219593530264,260251,4.226688850379057e-05,POINT (-3.7288521362661995 40.45178875525719),POINT (-3.729263750755554 40.450219593530264),7972739,7671.05730049458,7972739,7474.037787269649
57,38,40.48105650492823,-3.650090037503421,1280,100,6311,-3.651278151362334,40.48003970353531,7991162,4.755253366156261e-06,POINT (-3.650090037503421 40.48105650492823),POINT (-3.651278151362334 40.48003970353531),7972748,6973.437123852187,7972748,6261.608901605022
